input_row_key,input_company_name,input_main_country_code,input_main_country,input_main_region,input_main_city,input_main_postcode,input_main_street,input_main_street_number,veridion_id,company_name,main_country_code,main_city,main_postcode,website_domain,score,rank,name_sim,country_match,city_match,postcode_match,street_match,number_match
3,3 STEP IT AS,NO,Norway,Oslo,Oslo,0167,Wergelandsveien,7,08f48bc2-72c9-11ec-96d1-1d653dff9d1b,NIFU,NO,Oslo,0167,iscy.no,0.5206153846153846,1.0,0.15384615384615385,1.0,1.0,1.0,0.8,1.0
3,3 STEP IT AS,NO,Norway,Oslo,Oslo,0167,Wergelandsveien,7,ffa215ab-2d41-11ed-beec-abfee3849e16,3Step IT Oy.,FI,Helsinki,,karei.dev,0.5176470588235295,2.0,0.9411764705882353,0.0,0.0,0.0,0.0,0.0
3,3 STEP IT AS,NO,Norway,Oslo,Oslo,0167,Wergelandsveien,7,e6fa9211-1afa-11ec-b608-01034f9ccb5e,3stepIT,SE,Stockholm,113 60,3stepit.se,0.48125000000000007,3.0,0.875,0.0,0.0,0.0,0.0,0.0
3,3 STEP IT AS,NO,Norway,Oslo,Oslo,0167,Wergelandsveien,7,45309031-f8ab-11ed-89fe-613148a94f23,3 Step IT A/S.,DK,Gladsaxe Municipality,2860,3stepit.dk,0.45000000000000007,4.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0
3,3 STEP IT AS,NO,Norway,Oslo,Oslo,0167,Wergelandsveien,7,359bd116-93e5-11eb-b5f6-816dd10ac7b0,3Step IT Group,FI,Helsinki,00180,3stepit.com,0.3826086956521739,5.0,0.6956521739130435,0.0,0.0,0.0,0.0,0.0
7,A.T. KEARNEY AB,SE,Sweden,,,,,,08330b7d-aeb0-11ef-ac6a-636c4f5076ef,AT RÖRSERVICE,SE,Stockholm,126 41,vvshagersten.se,0.47500000000000003,1.0,0.5,1.0,0.0,0.0,0.0,0.0
7,A.T. KEARNEY AB,SE,Sweden,,,,,,2cb51120-126a-11ec-95c0-0372c7a8e1ea,A&T VVS,SE,Skutskär,814 41,atvvs.nu,0.42000000000000004,2.0,0.4,1.0,0.0,0.0,0.0,0.0
7,A.T. KEARNEY AB,SE,Sweden,,,,,,94cef5f9-93e4-11eb-8e19-198fb02d6f96,Kearney India,IN,Gurgaon,,kearney.in,0.32083333333333336,3.0,0.5833333333333334,0.0,0.0,0.0,0.0,0.0
7,A.T. KEARNEY AB,SE,Sweden,,,,,,e8a0c2c0-2d40-11ed-8056-51d6fec0e25c,Jennies Hundsalong,SE,Ljungby,341 31,jennieshundsalong.com,0.27586206896551724,4.0,0.13793103448275862,1.0,0.0,0.0,0.0,0.0
7,A.T. KEARNEY AB,SE,Sweden,,,,,,09c177c1-93e5-11eb-8859-29e7c34dee35,Atab civiele techniek,NL,Werkendam,4251 LC,atabcivieletechniek.nl,0.1375,5.0,0.25,0.0,0.0,0.0,0.0,0.0
8,A. T. KEARNEY PTE. LTD,SG,Singapore,,,,,,4f44b02e-17aa-11f0-87dc-2b7a69541cf4,ATKEARNEY,,,,atkearney.top,0.5950000000000001,1.0,0.9,0.0,1.0,0.0,0.0,0.0
8,A. T. KEARNEY PTE. LTD,SG,Singapore,,,,,,6140cb16-e9c8-11ec-8962-f153d16eca7f,Atkearney,DK,,,atkearney.dk,0.5950000000000001,2.0,0.9,0.0,1.0,0.0,0.0,0.0
8,A. T. KEARNEY PTE. LTD,SG,Singapore,,,,,,202101c3-93e5-11eb-a736-0f5b20ecb2f1,At Kearney 361 Grad,DE,,,atkearney361grad.de,0.4666666666666667,3.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0
8,A. T. KEARNEY PTE. LTD,SG,Singapore,,,,,,3bd57537-967f-11eb-a6b4-898f90f73868,Kearney,NO,Oslo,0166,kearney.cn,0.4277777777777778,4.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0
8,A. T. KEARNEY PTE. LTD,SG,Singapore,,,,,,3181d8e4-c44a-11ec-9b5e-239abba30ca2,Binary Core,DE,Munich,80331,binarycore.com,0.15,5.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0
16,ADECCO PERSONNEL PTE LTD,SG,Singapore,,,,,,8a652942-f9d1-11ed-9ca4-4b290c9d084b,Adecco Singapore Pte. Ltd.,SG,,640502,,0.609375,1.0,0.5625,1.0,1.0,0.0,0.0,0.0
16,ADECCO PERSONNEL PTE LTD,SG,Singapore,,,,,,ba377269-e0c8-11ee-8059-3192f363705b,Adecco Corporation Pte. Ltd.,SG,,609966,,0.6,2.0,0.5454545454545454,1.0,1.0,0.0,0.0,0.0
16,ADECCO PERSONNEL PTE LTD,SG,Singapore,,,,,,410a4cc3-93e5-11eb-9937-4fab995bf8ff,Adecco Singapore,SG,Singapore,228208,adecco.com.sg,0.509375,3.0,0.5625,1.0,0.0,0.0,0.0,0.0
16,ADECCO PERSONNEL PTE LTD,SG,Singapore,,,,,,00bc94a5-1c2a-11ef-8158-bff24dec971d,Personnel & Organization Development Pte Ltd.,SG,Singapore,178957,,0.38333333333333336,4.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0
16,ADECCO PERSONNEL PTE LTD,SG,Singapore,,,,,,221b9304-17ad-11f0-8cf4-d11ae4be4b11,Adecot Tech,US,Novi,48375,adecottech.pages.dev,0.20370370370370372,5.0,0.37037037037037035,0.0,0.0,0.0,0.0,0.0
25,AIG EUROPE S.A. NUF,NO,Norway,Oslo,Oslo,0160,Rosenkrantz’ Gate,22,379975dc-93e5-11eb-90d2-e3355a7e800b,AIG Norge,NO,Oslo,0160,aig.no,0.6397037037037039,1.0,0.37037037037037035,1.0,1.0,1.0,0.8,1.0
25,AIG EUROPE S.A. NUF,NO,Norway,Oslo,Oslo,0160,Rosenkrantz’ Gate,22,5bb5cc83-026b-11ec-8241-b3527a2bc565,Bertel O. Steen Kapital,NO,Oslo,0160,boskapital.com,0.6010000000000001,2.0,0.3,1.0,1.0,1.0,0.8,1.0
25,AIG EUROPE S.A. NUF,NO,Norway,Oslo,Oslo,0160,Rosenkrantz’ Gate,22,1fe97720-93e5-11eb-86dd-ffbd1b53140e,BårdarTV,NO,Oslo,0160,baardar.no,0.562923076923077,3.0,0.23076923076923078,1.0,1.0,1.0,0.8,1.0
25,AIG EUROPE S.A. NUF,NO,Norway,Oslo,Oslo,0160,Rosenkrantz’ Gate,22,4aedff5e-180c-11f0-a73e-ff3f1015d340,AIG PEP V Asia LP.,NO,Dovre,2662,ai-peaksync.pro,0.5142857142857142,4.0,0.5714285714285714,1.0,0.0,0.0,0.0,0.0
